"Code","Name","Enabled","AdminUnit"
Use7xFiltersForWordReports,Use7xFiltersForWordReports,1,All employees
Use7xFiltersForWordReports,Use7xFiltersForWordReports,1,All portal users
UseAliasNotifier,UseAliasNotifier,1,All employees
UseAliasNotifier,UseAliasNotifier,1,All portal users
UseAnimationSpinner,UseAnimationSpinner,1,All employees
UseAsyncEmailSender,UseAsyncEmailSender,1,All employees
UseAsyncEmailSender,UseAsyncEmailSender,1,All portal users
UseBackgroundProcessMode,UseBackgroundProcessMode,1,All employees
UseBaseEditWithButtonGenerator,UseBaseEditWithButtonGenerator,1,All employees
UseBaseEditWithButtonGenerator,UseBaseEditWithButtonGenerator,1,All portal users
UseBaseEntityFileDeleteListener,UseBaseEntityFileDeleteListener,0,All employees
UseBaseEntityFileDeleteListener,UseBaseEntityFileDeleteListener,0,All portal users
UseCallTypeFromAD,UseCallTypeFromAD,1,All employees
UseColumnExpression,UseColumnExpression,1,All employees
UseContentStreamOnFileLoad,UseContentStreamOnFileLoad,1,All employees
UseContentStreamOnFileLoad,UseContentStreamOnFileLoad,1,All portal users
UseCrossRateForOrderPaymentAmount,UseCrossRateForOrderPaymentAmount,1,All employees
UseCSATRatingService,UseCSATRatingService,1,All employees
UseCSATRatingService,UseCSATRatingService,1,All portal users
UseDataServiceImport,UseDataServiceModelLoader,1,All employees
UseDateForNotificationsQuery,UseDateForNotificationsQuery,1,All employees
UseDcmSchemaInfoInDcmActionsDashboard,UseDcmSchemaInfoInDcmActionsDashboard,1,All employees
UseDcmSchemaInfoInDcmActionsDashboard,UseDcmSchemaInfoInDcmActionsDashboard,1,All portal users
UseDcmServerEndPoint,UseDcmServerEndPoint,1,All employees
UseDcmServerEndPoint,UseDcmServerEndPoint,1,All portal users
UseDuplicatesHistory,UseDuplicatesHistory,1,All employees
UseEmailSenderForSelfReg,UseEmailSenderForSelfReg,1,All employees
UseEntityCloneInLocalMessage,"",1,Supervisor
UseEntityOperationGrantee,UseEntityOperationGrantee,1,All employees
UseEsnRights,UseEsnRights,1,All employees
UseEsnRights,UseEsnRights,1,All portal users
UseExplicitCastInDuplicatesSearchOnDataImport,UseExplicitCastInDuplicatesSearchOnDataImport,1,All employees
UseFacebookDebugLibrary,UseFacebookDebugLibrary,0,All employees
UseFastLoadDcmActionDashboard,UseFastLoadDcmActionDashboard,1,All employees
UseFetchForSearchExistEntityInFileImport,"",0,All employees
UseFileImportTemplate,UseFileImportTemplate,1,All employees
UseFilterUngroupVisibilitySettings,UseFilterUngroupVisibilitySettings,1,All employees
UseHomePageInterfaceDesigner,UseHomePageInterfaceDesigner,0,
UseHomePageInterfaceDesigner,UseHomePageInterfaceDesigner,0,
UseLDAPSyncId,UseLDAPSyncId,1,All employees
UseLoadedMessagesFilterInESN,UseLoadedMessagesFilterInESN,1,All employees
UseLookupInvoiceForSupplyPaymentDetail,UseLookupInvoiceForSupplyPaymentDetail,1,All employees
